nik,nome,,url,
amosaobraz,São Braz,undefined,https://www.instagram.com/amosaobraz/,undefined
amulherdofuturo,Edgel Joseph,undefined,https://www.instagram.com/amulherdofuturo/,undefined
ana.gsoares,ANA G SOARES,undefined,https://www.instagram.com/ana.gsoares/,undefined
anbimaoficial,ANBIMA,undefined,https://www.instagram.com/anbimaoficial/,undefined
andersonc_s,Anderson Souza,undefined,https://www.instagram.com/andersonc_s/,undefined
andersonsz2,Anderson Souza,undefined,https://www.instagram.com/andersonsz2/,undefined
andifesoficial,Andifes,undefined,https://www.instagram.com/andifesoficial/,undefined
andreamcufc,Andréa Camurça,undefined,https://www.instagram.com/andreamcufc/,undefined
aninhaahsagaz,Aninha Sagas Aah Unikaa😉,undefined,https://www.instagram.com/aninhaahsagaz/,undefined
anitta,Anitta 🎤,undefined,https://www.instagram.com/anitta/,undefined
anos_luz7,ANOS LUZ,undefined,https://www.instagram.com/anos_luz7/,undefined
anpocs,ANPOCS,undefined,https://www.instagram.com/anpocs/,undefined
antigopt,antigoPT,undefined,https://www.instagram.com/antigopt/,undefined
antoniogomessouzafilho,Antonio Gomes Souza Filho,undefined,https://www.instagram.com/antoniogomessouzafilho/,undefined
aoc,Alexandria Ocasio-Cortez,undefined,https://www.instagram.com/aoc/,undefined
aosfatos,Aos Fatos,undefined,https://www.instagram.com/aosfatos/,undefined
aprender_python,Aprender Python aqui é fácil,undefined,https://www.instagram.com/aprender_python/,undefined
araujo.doug_,Douglas De Araújo Costa,undefined,https://www.instagram.com/araujo.doug_/,undefined
arceus_gomes_19,Arceus Gomes Cavaliere,undefined,https://www.instagram.com/arceus_gomes_19/,undefined
arteeculturaceara,ARTE E CULTURA CEARÁ,undefined,https://www.instagram.com/arteeculturaceara/,undefined
arthu_rsoares23,arthur sousa,undefined,https://www.instagram.com/arthu_rsoares23/,undefined
aryansilveira,aryan silveira 🦋,undefined,https://www.instagram.com/aryansilveira/,undefined
ascunhaspodcast,As Cunhãs Podcast,undefined,https://www.instagram.com/ascunhaspodcast/,undefined
asimov.academy,Asimov Academy,undefined,https://www.instagram.com/asimov.academy/,undefined
asn.rocks,Profa. Adriana Silva | Ciência de Dados,undefined,https://www.instagram.com/asn.rocks/,undefined
assembleiace,ALECE,undefined,https://www.instagram.com/assembleiace/,undefined
astro.fortaleza,ASTRO PUB,undefined,https://www.instagram.com/astro.fortaleza/,undefined
astronomiainterestelar,Alessandro Binow - Astronomia✨,undefined,https://www.instagram.com/astronomiainterestelar/,undefined
auteminvestimentos,AUTEM Investimentos,undefined,https://www.instagram.com/auteminvestimentos/,undefined
axel_ezequias,Axel,undefined,https://www.instagram.com/axel_ezequias/,undefined
ayeskahaisa,Ayêska Haisa,undefined,https://www.instagram.com/ayeskahaisa/,undefined
baby.investidor,Baby Investidor | Investimentos e Milhas,undefined,https://www.instagram.com/baby.investidor/,undefined
badgalriri,badgalriri,undefined,https://www.instagram.com/badgalriri/,undefined
ballroomceara,Ballroom Ceará,undefined,https://www.instagram.com/ballroomceara/,undefined
barculturallions,Bar Lions,undefined,https://www.instagram.com/barculturallions/,undefined
barviolibar,Barvioli,undefined,https://www.instagram.com/barviolibar/,undefined
basuranyc,,undefined,https://www.instagram.com/basuranyc/,undefined
bbcbrasil,BBC News | Brasil,undefined,https://www.instagram.com/bbcbrasil/,undefined
bcadvogadosassociados,Ben-Hur&Costa Advogados,undefined,https://www.instagram.com/bcadvogadosassociados/,undefined
bece_bibliotecaestadualdoceara,Biblioteca Pública Estadual do Ceará,undefined,https://www.instagram.com/bece_bibliotecaestadualdoceara/,undefined
bergdias,bergdias,undefined,https://www.instagram.com/bergdias/,undefined
binancebrasil,Binance Brasil,undefined,https://www.instagram.com/binancebrasil/,undefined
botecobravo,Boteco Bravo🍺,undefined,https://www.instagram.com/botecobravo/,undefined
brazilianversion,Brazilian Version,undefined,https://www.instagram.com/brazilianversion/,undefined
brenno.varos,Brenno Sullivan | VAROS,undefined,https://www.instagram.com/brenno.varos/,undefined
brenoperrucho,Breno Perrucho,undefined,https://www.instagram.com/brenoperrucho/,undefined
brilhocosplay,A.S.S 🇧🇷,undefined,https://www.instagram.com/brilhocosplay/,undefined
brocadopizza,Brocado Pizza ®️ORIGINAL,undefined,https://www.instagram.com/brocadopizza/,undefined
brugrinald,𝗕𝗥𝗨𝗡𝗢 𝗗𝗜𝗔𝗦,undefined,https://www.instagram.com/brugrinald/,undefined
brunatay.ss,Bruna,undefined,https://www.instagram.com/brunatay.ss/,undefined
bruno_perini,Bruno Perini,undefined,https://www.instagram.com/bruno_perini/,undefined
brunoluzofc,Bruno Luz,undefined,https://www.instagram.com/brunoluzofc/,undefined
bryann.wmp,Bryan,undefined,https://www.instagram.com/bryann.wmp/,undefined
bylorenacoelho,"Lore Coêlho | Beleza, Skincare, Cabelos, Maquiagem",undefined,https://www.instagram.com/bylorenacoelho/,undefined
cafe_santaclara,Café Santa Clara,undefined,https://www.instagram.com/cafe_santaclara/,undefined
cafegeracoes,Alberto Martins,undefined,https://www.instagram.com/cafegeracoes/,undefined
caiograneiro,Caio Graneiro,undefined,https://www.instagram.com/caiograneiro/,undefined
caiolealdf,Caio Leal,undefined,https://www.instagram.com/caiolealdf/,undefined
camurca.andrea,Andréa Camurça,undefined,https://www.instagram.com/camurca.andrea/,undefined
canaldragbox,📦 Dragbox,undefined,https://www.instagram.com/canaldragbox/,undefined
cancerianagrande,ᴊᴀᴍ,undefined,https://www.instagram.com/cancerianagrande/,undefined
canvabrasil,Canva Brasil,undefined,https://www.instagram.com/canvabrasil/,undefined
caplam_ufc,C.A Prof. Luiz Antônio Maciel,undefined,https://www.instagram.com/caplam_ufc/,undefined
carlooscesar_,Carlos Cesar,undefined,https://www.instagram.com/carlooscesar_/,undefined
carol_days,Caroline,undefined,https://www.instagram.com/carol_days/,undefined
caroleking,Carole King,undefined,https://www.instagram.com/caroleking/,undefined
casadefloroficial,Casa De Flor,undefined,https://www.instagram.com/casadefloroficial/,undefined
casainsana,Casa Insana by Livia Pinna,undefined,https://www.instagram.com/casainsana/,undefined
cavalcantemarcelino937,jose marcelino cavalcante,undefined,https://www.instagram.com/cavalcantemarcelino937/,undefined
caza.17,Marcos Vinícius,undefined,https://www.instagram.com/caza.17/,undefined
ccbnb_fortaleza,CCBNB Fortaleza,undefined,https://www.instagram.com/ccbnb_fortaleza/,undefined
cearaciencia,CearáCiência,undefined,https://www.instagram.com/cearaciencia/,undefined
cedecaceara,Cedeca Ceará,undefined,https://www.instagram.com/cedecaceara/,undefined
celecinaverasl,Celecina Veras Sales,undefined,https://www.instagram.com/celecinaverasl/,undefined
centrofreihumberto,Centro Frei Humberto,undefined,https://www.instagram.com/centrofreihumberto/,undefined
cheirode_mar,Josieldo Santos,undefined,https://www.instagram.com/cheirode_mar/,undefined
cientistachefeagricultura,Cientista-Chefe Agricultura,undefined,https://www.instagram.com/cientistachefeagricultura/,undefined
cientistachefedacultura,Cientista Chefe da Cultura,undefined,https://www.instagram.com/cientistachefedacultura/,undefined
cientistachefemeioambiente,Cientista Chefe Meio Ambiente,undefined,https://www.instagram.com/cientistachefemeioambiente/,undefined
cinemadodragao,Cinema do Dragão,undefined,https://www.instagram.com/cinemadodragao/,undefined
cirogomes,Ciro Gomes,undefined,https://www.instagram.com/cirogomes/,undefined
claw.santos,Claw Santos,undefined,https://www.instagram.com/claw.santos/,undefined
clonerobotics,Clone,undefined,https://www.instagram.com/clonerobotics/,undefined
clubedobarman,Clube do Barman,undefined,https://www.instagram.com/clubedobarman/,undefined
clubefii,Clube FII,undefined,https://www.instagram.com/clubefii/,undefined
cnpq_oficial,CNPq,undefined,https://www.instagram.com/cnpq_oficial/,undefined
coletivaboraderuma,Coletiva Bora de Ruma,undefined,https://www.instagram.com/coletivaboraderuma/,undefined
coletivo.consciencia.positiva,coletivo consciencia positiva,undefined,https://www.instagram.com/coletivo.consciencia.positiva/,undefined
coletivodivasdoceara,ColetivoArtísticoDivasdoCeará,undefined,https://www.instagram.com/coletivodivasdoceara/,undefined
coletivothecrazy,Coletivo The Crazy,undefined,https://www.instagram.com/coletivothecrazy/,undefined
cookingwithcocktailrings,Kylie Mazon-Chambers,undefined,https://www.instagram.com/cookingwithcocktailrings/,undefined
cortella,Mario Sergio Cortella,undefined,https://www.instagram.com/cortella/,undefined
cortescamaradas,Cortes Camaradas,undefined,https://www.instagram.com/cortescamaradas/,undefined
cortesereflexoes,cortesereflexões,undefined,https://www.instagram.com/cortesereflexoes/,undefined
craceara,CRA-CE,undefined,https://www.instagram.com/craceara/,undefined
culturaportodoceara,Cultura  1️⃣3️⃣,undefined,https://www.instagram.com/culturaportodoceara/,undefined
d3contadora,Jéssica Garcia | Especialista em Imposto de Renda,undefined,https://www.instagram.com/d3contadora/,undefined
dancnpi,Danilo Barbosa | Investimentos Alternativos,undefined,https://www.instagram.com/dancnpi/,undefined
danequalize,Daniel Ferreira,undefined,https://www.instagram.com/danequalize/,undefined
daniel_blog_de_cafe,Daniel Anspach,undefined,https://www.instagram.com/daniel_blog_de_cafe/,undefined
danielbispx,DANIEL 🐈‍⬛,undefined,https://www.instagram.com/danielbispx/,undefined
danilo_lopesoficial,Danilo Lopes,undefined,https://www.instagram.com/danilo_lopesoficial/,undefined
davi_mdal,,undefined,https://www.instagram.com/davi_mdal/,undefined
ddann28,Dan,undefined,https://www.instagram.com/ddann28/,undefined
democraciabeta,Democracia Beta,undefined,https://www.instagram.com/democraciabeta/,undefined
dentista_do_aparelho,Antonio Coimbra,undefined,https://www.instagram.com/dentista_do_aparelho/,undefined
deusmarqueiros,Deusmar Queirós,undefined,https://www.instagram.com/deusmarqueiros/,undefined
devfullcycle,Wesley Willians | Full Cycle,undefined,https://www.instagram.com/devfullcycle/,undefined
devolvepodcast,Devolve na Segunda Podcast,undefined,https://www.instagram.com/devolvepodcast/,undefined
deydiannepiaf,Deydianne Piaf,undefined,https://www.instagram.com/deydiannepiaf/,undefined
dicadehoje_7,Daniel Nigri - Dica de Hoje Research,undefined,https://www.instagram.com/dicadehoje_7/,undefined
dihego.luz,⚜️,undefined,https://www.instagram.com/dihego.luz/,undefined
dineysilva_21,Diney Silva | Profissional da Beleza ✂️,undefined,https://www.instagram.com/dineysilva_21/,undefined
diogoparodias,Diogo Paródias,undefined,https://www.instagram.com/diogoparodias/,undefined
djcleyltonmix,REAL CLEYLTON 085,undefined,https://www.instagram.com/djcleyltonmix/,undefined
djlobinha,𝐃𝐉 𝐋𝐎𝐁𝐈𝐍𝐇𝐀 🎧,undefined,https://www.instagram.com/djlobinha/,undefined
dogsdomangue,Cachorros do Mangue,undefined,https://www.instagram.com/dogsdomangue/,undefined
donizetearruda7,Donizete Arruda,undefined,https://www.instagram.com/donizetearruda7/,undefined
donnasantafortaleza,BOATE DONNA SANTA - OFICIAL,undefined,https://www.instagram.com/donnasantafortaleza/,undefined
douglasilvaphotos,Douglas Silva,undefined,https://www.instagram.com/douglasilvaphotos/,undefined
doutoralexsakata,Dr Alex Sakata - Medicina Funcional Integrativa,undefined,https://www.instagram.com/doutoralexsakata/,undefined
dr.ricardokores,Dr. Ricardo Kores | Médico Infectologista,undefined,https://www.instagram.com/dr.ricardokores/,undefined
dr.techbr,Vinícius Jardim | Dr.Tech,undefined,https://www.instagram.com/dr.techbr/,undefined
drbernardoprocto,Dr Bernardo Altoé Proctologista,undefined,https://www.instagram.com/drbernardoprocto/,undefined
dstv033333,dstv,undefined,https://www.instagram.com/dstv033333/,undefined
edsonfariaslima,Francisco,undefined,https://www.instagram.com/edsonfariaslima/,undefined
edu_soficial,Carlos Eduardo,undefined,https://www.instagram.com/edu_soficial/,undefined
edudeveloper,Eduardo Nascimento | Web Designer,undefined,https://www.instagram.com/edudeveloper/,undefined
edunascimento_,Eduardo Nascimento,undefined,https://www.instagram.com/edunascimento_/,undefined
electronicsworld2020,Electronics | Engineering | Robotics,undefined,https://www.instagram.com/electronicsworld2020/,undefined
elisangelabarbosa_fisio,Dra .Elisangela Barbosa,undefined,https://www.instagram.com/elisangelabarbosa_fisio/,undefined
ellapif,Ellapif,undefined,https://www.instagram.com/ellapif/,undefined
elmanofreitas,Elmano de Freitas,undefined,https://www.instagram.com/elmanofreitas/,undefined
elpatroneburguer,El Patrone Burguer,undefined,https://www.instagram.com/elpatroneburguer/,undefined
ely.vida,Ely Andrade,undefined,https://www.instagram.com/ely.vida/,undefined
empowerpython,Vinícius | 20+ anos de Python & Data Science,undefined,https://www.instagram.com/empowerpython/,undefined
enapgovbr,Enap,undefined,https://www.instagram.com/enapgovbr/,undefined
eng4tech,eng4tech,undefined,https://www.instagram.com/eng4tech/,undefined
engenhariaentendida,Engenharia entendida | Eng. DhanuzioAA,undefined,https://www.instagram.com/engenhariaentendida/,undefined
engenheir0s,Elétrica - Automação,undefined,https://www.instagram.com/engenheir0s/,undefined
enygmanerd,Enygma Nerd,undefined,https://www.instagram.com/enygmanerd/,undefined
equilibriumtattoo,Charles Alves,undefined,https://www.instagram.com/equilibriumtattoo/,undefined
erasmocoelhopaisolo,Erasmo Coelho | Pai por Adoção,undefined,https://www.instagram.com/erasmocoelhopaisolo/,undefined
erecapfortaleza,V ERECAP NORDESTE,undefined,https://www.instagram.com/erecapfortaleza/,undefined
escoladeativismo,Escola de Ativismo,undefined,https://www.instagram.com/escoladeativismo/,undefined
espaco_serragem,Espaço Serragem - Ateliê de Marcenaria 🌲,undefined,https://www.instagram.com/espaco_serragem/,undefined
espceara,Escola de Saúde Pública do Ceará,undefined,https://www.instagram.com/espceara/,undefined
espetariadobem,Espetaria do Bem,undefined,https://www.instagram.com/espetariadobem/,undefined
esquerdopatasspfc,Esquerdopatas Tricolores,undefined,https://www.instagram.com/esquerdopatasspfc/,undefined
estacaodasartes.ce,Estação das Artes,undefined,https://www.instagram.com/estacaodasartes.ce/,undefined
estiloflexivel,Metodo de Emagrecimento GDF,undefined,https://www.instagram.com/estiloflexivel/,undefined
estudantescomciro,Estudantes com Ciro!,undefined,https://www.instagram.com/estudantescomciro/,undefined
eubrunonas,,undefined,https://www.instagram.com/eubrunonas/,undefined
eugiabreu,Giovana Abreu,undefined,https://www.instagram.com/eugiabreu/,undefined
euulucas.l,Lucas Lopez Silva,undefined,https://www.instagram.com/euulucas.l/,undefined
evandroleitao,Evandro Leitão,undefined,https://www.instagram.com/evandroleitao/,undefined
evanice.duarte,ᴇᴠᴀɴɪᴄᴇ ᴅᴜᴀʀᴛᴇ,undefined,https://www.instagram.com/evanice.duarte/,undefined
ezatamentchy,Ezatamentchy,undefined,https://www.instagram.com/ezatamentchy/,undefined
ezaudiniz,Ezaú Diniz,undefined,https://www.instagram.com/ezaudiniz/,undefined
f_francysco_clleyitto_rocha_10,FRANCYSCO CLLEYITTO ROCHA,undefined,https://www.instagram.com/f_francysco_clleyitto_rocha_10/,undefined
fabriciomottaprof,Fabrício Motta,undefined,https://www.instagram.com/fabriciomottaprof/,undefined
felps,Felipe Martins,undefined,https://www.instagram.com/felps/,undefined
fenecap,FENECAP,undefined,https://www.instagram.com/fenecap/,undefined
fernanda.melx,fernanda melo,undefined,https://www.instagram.com/fernanda.melx/,undefined
festivaldeteatrofortaleza,Festival de Teatro de Fortaleza,undefined,https://www.instagram.com/festivaldeteatrofortaleza/,undefined
festivalforrainbow,For Rainbow,undefined,https://www.instagram.com/festivalforrainbow/,undefined
festivalgenteeprabrilhar,Festival Gente É Pra Brilhar,undefined,https://www.instagram.com/festivalgenteeprabrilhar/,undefined
ficavaiterpop,"Fica, Vai Ter Pop! 🍭",undefined,https://www.instagram.com/ficavaiterpop/,undefined
finepinova,Finep,undefined,https://www.instagram.com/finepinova/,undefined
fipe_oficial,Fipe,undefined,https://www.instagram.com/fipe_oficial/,undefined
flbapceara,Fundação Leonel Brizola-AP-CE,undefined,https://www.instagram.com/flbapceara/,undefined
flexivelsempre_,Bruno | Metodo de emagrecimento GDF,undefined,https://www.instagram.com/flexivelsempre_/,undefined
flower_bike_oficial,⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀Flower Bike 🚴🌹,undefined,https://www.instagram.com/flower_bike_oficial/,undefined
folhadespaulo,Folha de S.Paulo,undefined,https://www.instagram.com/folhadespaulo/,undefined
foodpradois,E ai? Bora viver?! | Agnes e Roberto,undefined,https://www.instagram.com/foodpradois/,undefined
fortalezaec,Fortaleza Esporte Clube,undefined,https://www.instagram.com/fortalezaec/,undefined
fortalezaesportes,Fortaleza Esportes ⭐️,undefined,https://www.instagram.com/fortalezaesportes/,undefined
forumdcace,Fórum DCA Ceará,undefined,https://www.instagram.com/forumdcace/,undefined
forumdenegres.gpp,Fórum de Negres de Gestão de Políticas Públicas,undefined,https://www.instagram.com/forumdenegres.gpp/,undefined
foryoueventos,FOR YOU EVENTOS,undefined,https://www.instagram.com/foryoueventos/,undefined
fr_deverdade,Fortaleza de verdade,undefined,https://www.instagram.com/fr_deverdade/,undefined
francesmorin,Frances Morin,undefined,https://www.instagram.com/francesmorin/,undefined
franciscoocelioevangelista,Francisco Ocelio Evangelista Ocelio,undefined,https://www.instagram.com/franciscoocelioevangelista/,undefined
frankqueiroz86,F r a n k Q u e i r o z 🌙,undefined,https://www.instagram.com/frankqueiroz86/,undefined
freepik,Freepik,undefined,https://www.instagram.com/freepik/,undefined
freiricardoregis.oficial,Frei Ricardo Regis,undefined,https://www.instagram.com/freiricardoregis.oficial/,undefined
funcapce,Funcap,undefined,https://www.instagram.com/funcapce/,undefined
fungihouse.br,Fungihouse,undefined,https://www.instagram.com/fungihouse.br/,undefined
fungostropicais,Geórgia Figueiredo,undefined,https://www.instagram.com/fungostropicais/,undefined
futurofisioo,Dr. Chrystyan Batista | Dra. Lais Silveira | FISIOTERAPEUTAS,undefined,https://www.instagram.com/futurofisioo/,undefined
gabigsotero,Gabriela Sotero,undefined,https://www.instagram.com/gabigsotero/,undefined
gabriel_llleirbag,Gabriel Leirbag,undefined,https://www.instagram.com/gabriel_llleirbag/,undefined
gabriel.martinelli,Gabriel Martinelli,undefined,https://www.instagram.com/gabriel.martinelli/,undefined
gabrielgomessouza_oficial,Biel Gömes 📷,undefined,https://www.instagram.com/gabrielgomessouza_oficial/,undefined
gabrielopes.m,Gabriel Lopes,undefined,https://www.instagram.com/gabrielopes.m/,undefined
gaga.gr,CHROMATICA ⚔️,undefined,https://www.instagram.com/gaga.gr/,undefined
galileualves25,Galileu Alves,undefined,https://www.instagram.com/galileualves25/,undefined
gandaiaclub,🌈 GANDAIA 𓂀,undefined,https://www.instagram.com/gandaiaclub/,undefined
georgebarbosaj,George Barbosa,undefined,https://www.instagram.com/georgebarbosaj/,undefined
geracaofpa,Geração FP&A,undefined,https://www.instagram.com/geracaofpa/,undefined
giselerbm,Gisele Gomez,943,https://www.instagram.com/giselerbm/,https://bit.ly/NOTAFlorNoAsfalto
glenn.11.greenwald,Glenn Greenwald,undefined,https://www.instagram.com/glenn.11.greenwald/,undefined
goldencloudtech,Golden Cloud Technology,undefined,https://www.instagram.com/goldencloudtech/,undefined
governodoceara,Governo do Ceará,undefined,https://www.instagram.com/governodoceara/,undefined
graaxinha,Graxinha | Larissa Nicola,undefined,https://www.instagram.com/graaxinha/,undefined
grupo_escats,Grupo Teatral ESCATS,undefined,https://www.instagram.com/grupo_escats/,undefined
grupocasamagalhaes,Casa Magalhães,undefined,https://www.instagram.com/grupocasamagalhaes/,undefined
grupogalhofo,Grupo Galhofo,undefined,https://www.instagram.com/grupogalhofo/,undefined
guilhermecortez_,Guilherme Cortez,undefined,https://www.instagram.com/guilhermecortez_/,undefined
halissontv,Halisson Ferreira,undefined,https://www.instagram.com/halissontv/,undefined
hansei_consult,Treinamento | Consultoria,undefined,https://www.instagram.com/hansei_consult/,undefined
hashtagprogramacao,"Hashtag - Python, JavaScript, SQL & Ciência de Dados",undefined,https://www.instagram.com/hashtagprogramacao/,undefined
hellsbar,Hells bar 🏳️‍🌈,undefined,https://www.instagram.com/hellsbar/,undefined
herbya,Herbya Vidal,undefined,https://www.instagram.com/herbya/,undefined
hg.designer_,𝔻𝕖𝕤𝕚𝕘𝕟𝕖𝕣 𝕕𝕖 𝕤𝕠𝕓𝕣𝕒𝕟𝕔𝕖𝕝𝕙𝕒 ✨,undefined,https://www.instagram.com/hg.designer_/,undefined
hilton_erika,Erika Hilton,undefined,https://www.instagram.com/hilton_erika/,undefined
historiapublica_,Ian Neves,undefined,https://www.instagram.com/historiapublica_/,undefined
hollidayviagenseturismo,Holliday Viagens e Turismo,undefined,https://www.instagram.com/hollidayviagenseturismo/,undefined
hootsgastropub,Hoots Gastropub,undefined,https://www.instagram.com/hootsgastropub/,undefined
hot_gayby_,its me gaby,undefined,https://www.instagram.com/hot_gayby_/,undefined
hroriz,Heitor Roriz Filho,undefined,https://www.instagram.com/hroriz/,undefined
huaweiacademyifce,ICT Huawei Academy IFCE,undefined,https://www.instagram.com/huaweiacademyifce/,undefined
hugo.apontes,Hugo Pontes | Advogado Trabalhista,undefined,https://www.instagram.com/hugo.apontes/,undefined
idealecafe,Ideale Café,undefined,https://www.instagram.com/idealecafe/,undefined
igoxrx,Igor Almeida,undefined,https://www.instagram.com/igoxrx/,undefined
igrejadospobres,Igreja dos Pobres,undefined,https://www.instagram.com/igrejadospobres/,undefined
imaginedragons,Imagine Dragons,undefined,https://www.instagram.com/imaginedragons/,undefined
indica_filmes,Bernardo Lopes | Indica Filmes,undefined,https://www.instagram.com/indica_filmes/,undefined
indicoemfortaleza,Indico em Fortaleza ● Dicas de Fortaleza,undefined,https://www.instagram.com/indicoemfortaleza/,undefined
institutocentec,Instituto Centro de Ensino Tecnológico,undefined,https://www.instagram.com/institutocentec/,undefined
institutodpn,Instituto Defesa da Pop. Negra,undefined,https://www.instagram.com/institutodpn/,undefined
institutodragaodomar,IDM | Instituto Dragão do Mar,undefined,https://www.instagram.com/institutodragaodomar/,undefined
institutomiranteceara,Instituto Mirante,undefined,https://www.instagram.com/institutomiranteceara/,undefined
iraguassufilho,Iraguassú Filho - Vereador de Fortaleza 🌹,undefined,https://www.instagram.com/iraguassufilho/,undefined
irislabgov,Íris | LabGov,undefined,https://www.instagram.com/irislabgov/,undefined
isaacsantosis,Isaac Santos,undefined,https://www.instagram.com/isaacsantosis/,undefined
isuperio,ANTONIO ISUPERIO 🦁✊🏾🏳️‍🌈,undefined,https://www.instagram.com/isuperio/,undefined
italo_personalize,Italo Farias,undefined,https://www.instagram.com/italo_personalize/,undefined
italo.irlan,Italo Irlan,undefined,https://www.instagram.com/italo.irlan/,undefined
italo.irlanf,Italo Irlan,undefined,https://www.instagram.com/italo.irlanf/,undefined
italoalvesce,Italo Ribeiro Alves,undefined,https://www.instagram.com/italoalvesce/,undefined
italofariasdesantiago,Italo Farias,undefined,https://www.instagram.com/italofariasdesantiago/,undefined
itausaholding,Itaúsa,undefined,https://www.instagram.com/itausaholding/,undefined
jaafarjackson,Jaafar Jackson,undefined,https://www.instagram.com/jaafarjackson/,undefined
jackatleta,Jackson  Xavier,undefined,https://www.instagram.com/jackatleta/,undefined
jamrockpraiadeiracema,Jamrock,undefined,https://www.instagram.com/jamrockpraiadeiracema/,undefined
janeladeagni,Janela de Agni,undefined,https://www.instagram.com/janeladeagni/,undefined
jayannebonfim,Jay,undefined,https://www.instagram.com/jayannebonfim/,undefined
jeanemesquitah,Jeane Mesquita,undefined,https://www.instagram.com/jeanemesquitah/,undefined
jilwesley,Jilwesley,undefined,https://www.instagram.com/jilwesley/,undefined
joao_pacifico,João Paulo Pacifico,undefined,https://www.instagram.com/joao_pacifico/,undefined
joaopcabelos,JOÃO PAULO OLIVEIRA I CABELEIREIRO,undefined,https://www.instagram.com/joaopcabelos/,undefined
joaoyjoaaao,João Ribeiro,undefined,https://www.instagram.com/joaoyjoaaao/,undefined
joelmaoliveira11,Joelma Oliveira,undefined,https://www.instagram.com/joelmaoliveira11/,undefined
johnmarneey,𝙹𝚘𝚑𝚗 𝙼𝚊𝚛𝚗𝚎𝚢,undefined,https://www.instagram.com/johnmarneey/,undefined
johntravolta,John Travolta,undefined,https://www.instagram.com/johntravolta/,undefined
jornadadeprogramador,Derci Santos • Jornada de Programador,undefined,https://www.instagram.com/jornadadeprogramador/,undefined
jornalnota,Jornal Nota,undefined,https://www.instagram.com/jornalnota/,undefined
joseeugenes,José Eugênes,undefined,https://www.instagram.com/joseeugenes/,undefined
josimar.feitosa.94,Josimar Feitosa,undefined,https://www.instagram.com/josimar.feitosa.94/,undefined
jovenspelademocracia_,JPD - Jovens pela Democracia,undefined,https://www.instagram.com/jovenspelademocracia_/,undefined
jp.net43,jr,undefined,https://www.instagram.com/jp.net43/,undefined
jpdemocracia,Jovens Pela Democracia,undefined,https://www.instagram.com/jpdemocracia/,undefined
jpe.com.br,João Pedro,undefined,https://www.instagram.com/jpe.com.br/,undefined
juliallabs,Julia Peron Metzger,undefined,https://www.instagram.com/juliallabs/,undefined
juliasduarteh,Júlia,undefined,https://www.instagram.com/juliasduarteh/,undefined
juntoscomelcio,Juntos com Élcio Batista,undefined,https://www.instagram.com/juntoscomelcio/,undefined
